"ID","Key","Value"
"VS-DEV-CAP","Level","0"
"VS-DEV-CAP","Value Proposition","Assure adequate, timely and cost-efficient grid capacity and topology that enables current and future users to connect and flow power safely, reliably, and affordably."
"VS-DEV-CAP","Value Stream Pattern","MTS"
"VS-DEV-CAP-S1","Level","1"
"VS-DEV-CAP-S1","Sequence","1"
"VS-DEV-CAP-S2","Level","1"
"VS-DEV-CAP-S2","Sequence","2"
"VS-DEV-CAP-S3","Level","1"
"VS-DEV-CAP-S3","Sequence","3"
"VS-DEV-CAP-S4","Level","1"
"VS-DEV-CAP-S4","Sequence","4"
"VS-DEV-CAP-S5","Level","1"
"VS-DEV-CAP-S5","Sequence","5"
"VS-DEV-CAP-S6","Level","1"
"VS-DEV-CAP-S6","Sequence","6"
"VS-DEV-CAP-S7","Level","1"
"VS-DEV-CAP-S7","Sequence","7"
"VS-CONNECT","Level","0"
"VS-CONNECT","Value Proposition","Provide non-discriminatory, timely, and cost-transparent physical connection tailored to the customer's location, capacity, and quality needs, compliant with codes."
"VS-CONNECT","Value Stream Pattern","ETO"
"VS-CONNECT-S1","Level","1"
"VS-CONNECT-S1","Sequence","1"
"VS-CONNECT-S2","Level","1"
"VS-CONNECT-S2","Sequence","2"
"VS-CONNECT-S3","Level","1"
"VS-CONNECT-S3","Sequence","3"
"VS-CONNECT-S4","Level","1"
"VS-CONNECT-S4","Sequence","4"
"VS-CONNECT-S5","Level","1"
"VS-CONNECT-S5","Sequence","5"
"VS-CONNECT-S6","Level","1"
"VS-CONNECT-S6","Sequence","6"
"VS-TRANSPORT","Level","0"
"VS-TRANSPORT","Value Proposition","Deliver reliable, high-availability power transport and quality within contracted parameters using existing grid assets."
"VS-TRANSPORT","Value Stream Pattern","ATO"
"VS-TRANSPORT-S1","Level","1"
"VS-TRANSPORT-S1","Sequence","1"
"VS-TRANSPORT-S2","Level","1"
"VS-TRANSPORT-S2","Sequence","2"
"VS-TRANSPORT-S3","Level","1"
"VS-TRANSPORT-S3","Sequence","3"
"VS-TRANSPORT-S4","Level","1"
"VS-TRANSPORT-S4","Sequence","4"
"VS-TRANSPORT-S5","Level","1"
"VS-TRANSPORT-S5","Sequence","5"
"VS-TRANSPORT-S6","Level","1"
"VS-TRANSPORT-S6","Sequence","6"
"VS-BALANCE","Level","0"
"VS-BALANCE","Value Proposition","Maintain real-time system balance and security to prevent outages and keep frequency/voltage within limits."
"VS-BALANCE","Value Stream Pattern","ATO"
"VS-BALANCE-S1","Level","1"
"VS-BALANCE-S1","Sequence","1"
"VS-BALANCE-S2","Level","1"
"VS-BALANCE-S2","Sequence","2"
"VS-BALANCE-S3","Level","1"
"VS-BALANCE-S3","Sequence","3"
"VS-BALANCE-S4","Level","1"
"VS-BALANCE-S4","Sequence","4"
"VS-BALANCE-S5","Level","1"
"VS-BALANCE-S5","Sequence","5"
"VS-SETTLE","Level","0"
"VS-SETTLE","Value Proposition","Provide accurate, transparent settlements, charges, and operational data to market participants and regulators."
"VS-SETTLE","Value Stream Pattern","ATO"
"VS-SETTLE-S1","Level","1"
"VS-SETTLE-S1","Sequence","1"
"VS-SETTLE-S2","Level","1"
"VS-SETTLE-S2","Sequence","2"
"VS-SETTLE-S3","Level","1"
"VS-SETTLE-S3","Sequence","3"
"VS-SETTLE-S4","Level","1"
"VS-SETTLE-S4","Sequence","4"
"VS-SETTLE-S5","Level","1"
