"ID","Type","Name","Documentation"
"vs_00","ValueStream","Develop & Maintain Grid Infrastructure",""
"vs_01","ValueStream","Forecast Demand & Supply",""
"vs_02","ValueStream","Plan Network Expansion",""
"vs_03","ValueStream","Execute Construction Project",""
"vs_04","ValueStream","Commission New Assets",""
"vs_05","ValueStream","Perform Proactive Maintenance",""
"vs_10","ValueStream","Fulfill New Grid Interconnection",""
"vs_11","ValueStream","Receive & Assess Request",""
"vs_12","ValueStream","Engineer Connection Solution",""
"vs_13","ValueStream","Approve & Contract",""
"vs_14","ValueStream","Construct & Test Interconnection",""
"vs_15","ValueStream","Activate Service",""
"vs_20","ValueStream","Deliver Energy & Ensure Grid Stability",""
"vs_21","ValueStream","Monitor Grid State",""
"vs_22","ValueStream","Balance Supply & Demand",""
"vs_23","ValueStream","Manage Congestion",""
"vs_24","ValueStream","Respond to Incidents",""
"vs_25","ValueStream","Settle Market Transactions",""
"cap_00","Capability","Grid Planning & Development",""
"cap_01","Capability","Demand & Load Forecasting",""
"cap_02","Capability","Network Topology Modeling",""
"cap_03","Capability","Grid Investment Planning",""
"cap_04","Capability","Asset Sourcing & Procurement",""
"cap_10","Capability","Grid Operations & Control",""
"cap_11","Capability","Real-Time Grid Monitoring",""
"cap_12","Capability","Energy Dispatch Coordination",""
"cap_13","Capability","Frequency & Voltage Control",""
"cap_14","Capability","Outage Management",""
"cap_15","Capability","Grid Security Management",""
"cap_20","Capability","Grid Asset Management",""
"cap_21","Capability","Asset Health Monitoring",""
"cap_22","Capability","Maintenance Planning & Scheduling",""
"cap_23","Capability","Field Operations Execution",""
"cap_30","Capability","Market & Stakeholder Management",""
"cap_31","Capability","Interconnection Management",""
"cap_32","Capability","Tariff & Rate Management",""
"cap_33","Capability","Regulatory Compliance & Reporting",""
"cap_34","Capability","Energy Market Facilitation",""
"bo_00","BusinessObject","Grid Infrastructure",""
"bo_01","BusinessObject","Grid Asset",""
"bo_02","BusinessObject","Transmission Line",""
"bo_03","BusinessObject","Substation",""
"bo_04","BusinessObject","Transformer",""
"bo_05","BusinessObject","Smart Meter",""
"bo_10","BusinessObject","Grid Data & Models",""
"bo_11","BusinessObject","Grid Topology Model",""
"bo_12","BusinessObject","Energy Flow Data",""
"bo_13","BusinessObject","Load Forecast",""
"bo_14","BusinessObject","Asset Health Record",""
"bo_20","BusinessObject","Operational & Contractual Records",""
"bo_21","BusinessObject","Interconnection Agreement",""
"bo_22","BusinessObject","Outage Record",""
"bo_23","BusinessObject","Maintenance Work Order",""
"bo_24","BusinessObject","Regulatory Filing",""
"bo_25","BusinessObject","Market Settlement Record",""
