"ID","Type","Name","Documentation"
"C0","Capability","Advance and Disseminate Knowledge",""
"C1","Capability","Acquire Funding and Resources",""
"C2","Capability","Recruit Students and Faculty",""
"C3","Capability","Conduct Research Programs",""
"C4","Capability","Deliver Academic Programs",""
"C5","Capability","Create Intellectual Assets",""
"C6","Capability","Commercialize Intellectual Property",""
"C7","Capability","Engage Societal Stakeholders",""
"C101","Capability","Acquire Institutional Funds",""
"C102","Capability","Manage Donor Relations",""
"C103","Capability","Process Student Payments",""
"C104","Capability","Scan Funding Environments",""
"C105","Capability","Write Grant Proposals",""
"C106","Capability","Manage Research Contracts",""
"C107","Capability","Report to Sponsors",""
"C108","Capability","Administer Research Grants",""
"C201","Capability","Assess Faculty Expertise",""
"C202","Capability","Recruit Academic Staff",""
"C203","Capability","Market Academic Programs",""
"C204","Capability","Evaluate Student Applications",""
"C205","Capability","Manage Student Admissions",""
"C206","Capability","Define Admission Criteria",""
"C301","Capability","Define Research Strategies",""
"C302","Capability","Manage Research Infrastructure",""
"C303","Capability","Develop Research Protocols",""
"C304","Capability","Assess Research Landscapes",""
"C305","Capability","Ensure Research Compliance",""
"C306","Capability","Conduct Experiments and Studies",""
"C307","Capability","Interpret Research Results",""
"C401","Capability","Analyze Educational Needs",""
"C402","Capability","Design Academic Curricula",""
"C403","Capability","Govern Academic Offerings",""
"C404","Capability","Create Learning Content",""
"C405","Capability","Manage Program Information",""
"C406","Capability","Define Academic Policies",""
"C407","Capability","Administer Course Enrollments",""
"C408","Capability","Conduct Teaching Activities",""
"C409","Capability","Assess Student Performance",""
"C410","Capability","Support Student Development",""
"C411","Capability","Manage Graduations",""
"C501","Capability","Curate Research Datasets",""
"C502","Capability","Process Invention Disclosures",""
"C503","Capability","Evaluate Intellectual Property",""
"C504","Capability","Manage Patent Portfolios",""
"C601","Capability","Market Technologies",""
"C602","Capability","Negotiate Commercial Agreements",""
"C603","Capability","Administer IP Contracts",""
"C604","Capability","Manage Royalty Incomes",""
"C605","Capability","Ensure IP Compliance",""
"C701","Capability","Engage Alumni",""
"C702","Capability","Publish Research Outcomes",""
"B0","BusinessObject","University Knowledge Asset",""
"B1","BusinessObject","Funding and Resources",""
"B2","BusinessObject","Talent Pool",""
"B3","BusinessObject","Research Program",""
"B4","BusinessObject","Academic Program",""
"B5","BusinessObject","Intellectual Asset",""
"B6","BusinessObject","Commercialized Asset",""
"B7","BusinessObject","Societal Engagement",""
"B101","BusinessObject","Donation",""
"B102","BusinessObject","Donor Relationship",""
"B103","BusinessObject","Tuition Payment",""
"B104","BusinessObject","Funding Opportunity",""
"B105","BusinessObject","Grant Proposal",""
"B106","BusinessObject","Research Agreement",""
"B107","BusinessObject","Sponsor Report",""
"B108","BusinessObject","Grant Account",""
"B201","BusinessObject","Faculty Profile",""
"B202","BusinessObject","Faculty Recruitment",""
"B203","BusinessObject","Marketing Campaign",""
"B204","BusinessObject","Student Application",""
"B205","BusinessObject","Admission Offer",""
"B206","BusinessObject","Admission Policy",""
"B301","BusinessObject","Research Strategy",""
"B302","BusinessObject","Research Facility",""
"B303","BusinessObject","Research Protocol",""
"B304","BusinessObject","Research Landscape Analysis",""
"B305","BusinessObject","Research Compliance Protocol",""
"B306","BusinessObject","Experimental Data",""
"B307","BusinessObject","Research Finding",""
"B401","BusinessObject","Market Insight",""
"B402","BusinessObject","Curriculum",""
"B403","BusinessObject","Program Approval",""
"B404","BusinessObject","Course Material",""
"B405","BusinessObject","Program Catalogue",""
"B406","BusinessObject","Academic Policy",""
"B407","BusinessObject","Course Enrollment",""
"B408","BusinessObject","Learning Experience",""
"B409","BusinessObject","Student Assessment",""
"B410","BusinessObject","Student Support Case",""
"B411","BusinessObject","Degree",""
"B501","BusinessObject","Research Dataset",""
"B502","BusinessObject","Invention Disclosure",""
"B503","BusinessObject","IP Assessment",""
"B504","BusinessObject","Patent",""
"B601","BusinessObject","Technology Marketing Campaign",""
"B602","BusinessObject","License Negotiation",""
"B603","BusinessObject","License Agreement",""
"B604","BusinessObject","Royalty Payment",""
"B605","BusinessObject","License Compliance Case",""
"B701","BusinessObject","Alumnus Relationship",""
"B702","BusinessObject","Publication",""
"V0_1","ValueStream","Develop Academic Portfolio",""
"V0_2","ValueStream","Establish Research Platforms",""
"V0_3","ValueStream","Educate Student",""
"V0_4","ValueStream","Execute Research Project",""
"V0_5","ValueStream","License Technology",""
"V1_1_1","ValueStream","Design and Maintain Programs",""
"V2_1_1","ValueStream","Analyze Market Demands",""
"V2_1_2","ValueStream","Design Curricula",""
"V2_1_3","ValueStream","Approve New Programs",""
"V2_1_4","ValueStream","Develop Course Materials",""
"V2_1_5","ValueStream","Publish Program Catalogues",""
"V1_2_1","ValueStream","Develop Research Capacity",""
"V1_2_2","ValueStream","Acquire Foundational Resources",""
"V1_2_3","ValueStream","Attract Key Talent",""
"V2_2_1","ValueStream","Identify Strategic Research Areas",""
"V2_2_2","ValueStream","Secure Foundational Funding",""
"V2_2_3","ValueStream","Establish Core Facilities",""
"V2_2_4","ValueStream","Recruit Principal Investigators",""
"V2_2_5","ValueStream","Define Research Methodologies",""
"V1_3_1","ValueStream","Recruit and Admit Students",""
"V1_3_2","ValueStream","Deliver and Assess Learning",""
"V1_3_3","ValueStream","Secure Tuition Revenue",""
"V1_3_4","ValueStream","Foster Lifelong Engagement",""
"V2_3_1","ValueStream","Promote Academic Programs",""
"V2_3_2","ValueStream","Process Student Applications",""
"V2_3_3","ValueStream","Admit Qualified Students",""
"V2_3_4","ValueStream","Enroll Students in Courses",""
"V2_3_5","ValueStream","Deliver Lectures and Seminars",""
"V2_3_6","ValueStream","Administer Student Assessments",""
"V2_3_7","ValueStream","Provide Academic Advising",""
"V2_3_8","ValueStream","Collect Tuition Fees",""
"V2_3_9","ValueStream","Confer Degrees",""
"V2_3_10","ValueStream","Manage Alumni Relations",""
"V1_4_1","ValueStream","Secure Sponsored Research",""
"V1_4_2","ValueStream","Conduct Investigation",""
"V1_4_3","ValueStream","Formalize Discoveries",""
"V1_4_4","ValueStream","Share New Knowledge",""
"V2_4_1","ValueStream","Identify Funding Opportunities",""
"V2_4_2","ValueStream","Develop Research Proposals",""
"V2_4_3","ValueStream","Negotiate Grant Agreements",""
"V2_4_4","ValueStream","Execute Research Plans",""
"V2_4_5","ValueStream","Analyze Research Data",""
"V2_4_6","ValueStream","Report Research Progress",""
"V2_4_7","ValueStream","Manage Grant Finances",""
"V2_4_8","ValueStream","Disseminate Research Findings",""
"V2_4_9","ValueStream","Archive Research Data",""
"V1_5_1","ValueStream","Capture and Protect Inventions",""
"V1_5_2","ValueStream","Commercialize Assets",""
"V2_5_1","ValueStream","Receive Invention Disclosures",""
"V2_5_2","ValueStream","Assess Commercial Potential",""
"V2_5_3","ValueStream","Secure Patent Protections",""
"V2_5_4","ValueStream","Market University Technologies",""
"V2_5_5","ValueStream","Negotiate Licensing Terms",""
"V2_5_6","ValueStream","Execute Licensing Agreements",""
"V2_5_7","ValueStream","Collect Royalty Payments",""
"V2_5_8","ValueStream","Monitor Licensee Performance",""
