"ID","Type","Name","Documentation"
"VS-DEV-CAP","ValueStream","Develop Grid Capacity","End-to-end value stream to plan, deliver, and release grid capacity and topology."
"VS-DEV-CAP-S1","ValueStream","Forecast Grid Needs","Forecast long- and near-term demand/supply to determine capacity gaps."
"VS-DEV-CAP-S2","ValueStream","Identify Grid Options","Identify and evaluate expansion, reinforcement, and non-network options."
"VS-DEV-CAP-S3","ValueStream","Obtain Permits and Easements","Secure statutory approvals, permits, consents, wayleaves, and land access."
"VS-DEV-CAP-S4","ValueStream","Engineer Grid Assets","Produce detailed engineering designs and specifications for grid assets."
"VS-DEV-CAP-S5","ValueStream","Procure and Construct Assets","Source materials and contractors and build assets per approved designs."
"VS-DEV-CAP-S6","ValueStream","Commission Assets","Test, integrate, and commission new or upgraded assets into the grid."
"VS-DEV-CAP-S7","ValueStream","Release Capacity to Operations","Handover assets and release usable capacity to operations."
"VS-CONNECT","ValueStream","Connect Customer to Grid","End-to-end value stream to provide compliant physical connections for customers."
"VS-CONNECT-S1","ValueStream","Receive Connection Application","Receive and register customer connection requests and prerequisites."
"VS-CONNECT-S2","ValueStream","Assess Technical Feasibility","Assess technical feasibility for the requested location, capacity, and quality."
"VS-CONNECT-S3","ValueStream","Offer Connection and Terms","Prepare and issue a technical/commercial connection offer with terms and costs."
"VS-CONNECT-S4","ValueStream","Design Connection Solution","Engineer the specific connection design to standards and codes."
"VS-CONNECT-S5","ValueStream","Construct and Commission Connection","Build, test, and commission the connection assets."
"VS-CONNECT-S6","ValueStream","Energize and Hand Over","Energize the connection and complete operational/customer handover."
"VS-TRANSPORT","ValueStream","Provide Network Transport Service","Operate the grid to transport power within contracted parameters and quality."
"VS-TRANSPORT-S1","ValueStream","Onboard Network User","Set up new user agreements, credentials, and commercial arrangements."
"VS-TRANSPORT-S2","ValueStream","Configure Access and Constraints","Configure network access rights and operational constraints."
"VS-TRANSPORT-S3","ValueStream","Schedule and Nominate Flows","Receive, validate, and process schedules and nominations."
"VS-TRANSPORT-S4","ValueStream","Monitor Power Quality","Monitor voltage, frequency, and power quality against standards."
"VS-TRANSPORT-S5","ValueStream","Manage Outages and Maintenance","Plan and execute outages, switching, and maintenance activities."
"VS-TRANSPORT-S6","ValueStream","Bill Network Usage","Calculate, validate, and issue transport service charges."
"VS-BALANCE","ValueStream","Balance and Secure Power System","Maintain real-time system balance and security to avoid outages."
"VS-BALANCE-S1","ValueStream","Prepare System Operating Plan","Prepare day-ahead and intraday operating plans and constraints."
"VS-BALANCE-S2","ValueStream","Monitor System State","Monitor SCADA/EMS data and system conditions in real time."
"VS-BALANCE-S3","ValueStream","Balance and Congestion Manage","Dispatch balancing resources and manage congestion and constraints."
"VS-BALANCE-S4","ValueStream","Manage Contingencies and Restoration","Respond to disturbances and restore service safely."
"VS-BALANCE-S5","ValueStream","Settle Balancing Actions","Calculate and settle balancing energy and capacity actions."
"VS-SETTLE","ValueStream","Settle and Inform Market Participants","Provide accurate, transparent settlements and reports to stakeholders."
"VS-SETTLE-S1","ValueStream","Collect Metering and Event Data","Collect metering and relevant event data from participants and devices."
"VS-SETTLE-S2","ValueStream","Validate and Aggregate Data","Validate, estimate, and aggregate data for settlement readiness."
"VS-SETTLE-S3","ValueStream","Calculate Charges and Settlements","Compute tariffs, charges, and settlement amounts per rules."
"VS-SETTLE-S4","ValueStream","Issue Statements and Invoices","Produce and issue statements, invoices, and charge notices."
"VS-SETTLE-S5","ValueStream","Publish Regulatory and Transparency Reports","Publish regulatory, market, and transparency reports."
"CAP-DEV-CAP-PRIMARY","Capability","Grid Capacity Management","Capability to plan, deliver, and release grid capacity and topology."
"CAP-DEV-S1","Capability","Grid Needs Forecasting","Capability to forecast grid demand/supply and identify capacity gaps."
"CAP-DEV-S2","Capability","Grid Option Analysis","Capability to analyze network and non-network expansion options."
"CAP-DEV-S3","Capability","Permitting and Wayleave Acquisition","Capability to secure permits, consents, and land-use rights."
"CAP-DEV-S4","Capability","Asset Engineering Design","Capability to design grid assets to standards and performance needs."
"CAP-DEV-S5","Capability","Asset Procurement and Construction","Capability to procure materials/services and construct assets."
"CAP-DEV-S6","Capability","Asset Commissioning","Capability to test, integrate, and commission assets."
"CAP-DEV-S7","Capability","Capacity Release","Capability to hand over assets and release usable capacity."
"CAP-CONNECT-PRIMARY","Capability","Connection Service Management","Capability to manage end-to-end customer connection services."
"CAP-CONN-S1","Capability","Connection Application Intake","Capability to receive, qualify, and register connection applications."
"CAP-CONN-S2","Capability","Connection Feasibility Assessment","Capability to assess technical feasibility and constraints."
"CAP-CONN-S3","Capability","Connection Offer Structuring","Capability to craft technical and commercial connection offers."
"CAP-CONN-S4","Capability","Connection Detailed Design","Capability to create detailed connection designs and specifications."
"CAP-CONN-S5","Capability","Connection Build and Commission","Capability to build, test, and commission connection assets."
"CAP-CONN-S6","Capability","Energization and Handover","Capability to energize connections and complete handover."
"CAP-TRANSPORT-PRIMARY","Capability","Network Transport Management","Capability to manage network transport services and performance."
"CAP-TRAN-S1","Capability","Network User Onboarding","Capability to onboard and set up network users and agreements."
"CAP-TRAN-S2","Capability","Access Configuration","Capability to configure access rights and operational constraints."
"CAP-TRAN-S3","Capability","Flow Scheduling","Capability to manage schedules and nominations."
"CAP-TRAN-S4","Capability","Power Quality Monitoring","Capability to monitor and assure power quality."
"CAP-TRAN-S5","Capability","Outage and Maintenance Management","Capability to plan and manage outages and maintenance."
"CAP-TRAN-S6","Capability","Network Usage Billing","Capability to rate, bill, and reconcile network usage."
"CAP-BALANCE-PRIMARY","Capability","System Balancing Management","Capability to balance the power system and ensure security."
"CAP-BAL-S1","Capability","Operational Planning","Capability for day-ahead and intraday operational planning."
"CAP-BAL-S2","Capability","System State Monitoring","Capability to monitor system state and situational awareness."
"CAP-BAL-S3","Capability","Balancing and Congestion Control","Capability to balance supply/demand and manage constraints."
"CAP-BAL-S4","Capability","Contingency Response and Restoration","Capability to respond to incidents and restore service."
"CAP-BAL-S5","Capability","Balancing Settlement","Capability to settle balancing market and actions."
"CAP-SETTLE-PRIMARY","Capability","Market Settlement Management","Capability to perform market settlements and transparency reporting."
"CAP-SET-S1","Capability","Meter and Event Data Collection","Capability to collect settlement-relevant meter and event data."
"CAP-SET-S2","Capability","Data Validation and Aggregation","Capability to validate, estimate, and aggregate settlement data."
"CAP-SET-S3","Capability","Charge and Settlement Calculation","Capability to calculate tariffs, charges, and settlements."
"CAP-SET-S4","Capability","Statement and Invoice Issuance","Capability to issue statements and invoices to parties."
"CAP-SET-S5","Capability","Regulatory and Market Reporting","Capability to produce regulatory and market transparency reports."
"BO-DEV-CAP-PORTFOLIO","BusinessObject","Grid Capacity Portfolio","Portfolio of artifacts produced/used to develop grid capacity."
"BO-DEV-S1","BusinessObject","Grid Needs Forecast","Forecast documents and datasets of grid needs and gaps."
"BO-DEV-S2","BusinessObject","Grid Options Assessment","Evaluations of options with costs, benefits, and impacts."
"BO-DEV-S3","BusinessObject","Permit and Easement Package","Compiled permits, consents, and land-rights documentation."
"BO-DEV-S4","BusinessObject","Asset Engineering Package","Engineering designs, drawings, and specifications package."
"BO-DEV-S5","BusinessObject","Construction Work Package","Construction work orders, plans, and method statements."
"BO-DEV-S6","BusinessObject","Commissioning Record","Records of tests, approvals, and commissioning outcomes."
"BO-DEV-S7","BusinessObject","Released Capacity Record","Record confirming capacity release and handover to operations."
"BO-CONNECT-PORTFOLIO","BusinessObject","Connection Portfolio","Portfolio of artifacts for customer connection services."
