"ID","Type","Name","Documentation"
"VS_L0_DMG","ValueStream","Develop & Maintain Grid","The end-to-end process of planning, building, and maintaining the physical grid infrastructure."
"VS_L1_DMG_PD","ValueStream","Plan & Design","The strategic process of planning for future grid needs and designing the required assets."
"VS_L2_DMG_1","ValueStream","Plan Network Expansion","Analyzes future load and generation patterns to create long-term network expansion plans."
"VS_L2_DMG_2","ValueStream","Design & Engineer Bulk Assets","Creates detailed engineering specifications and designs for major grid components like substations and transmission lines."
"VS_L1_DMG_B","ValueStream","Build Assets","The operational process of constructing new assets and commissioning them into service."
"VS_L2_DMG_3","ValueStream","Construct & Commission Bulk Assets","Manages the construction, testing, and commissioning of new high-voltage grid infrastructure."
"VS_L1_DMG_M","ValueStream","Maintain Assets","The operational process of performing ongoing maintenance on existing infrastructure to ensure reliability."
"VS_L2_DMG_4","ValueStream","Inspect & Maintain Assets","Performs routine inspections, preventative maintenance, and corrective repairs on grid assets."
"VS_L0_DE","ValueStream","Deliver Energy","The core process of operating the grid in real-time to ensure the reliable and secure flow of electricity from generators to consumers."
"VS_L1_DE_OP","ValueStream","Operate & Monitor","The continuous process of forecasting energy needs, balancing the system, and monitoring grid status."
"VS_L2_DE_1","ValueStream","Forecast Load & Generation","Predicts short-term electricity demand and generation availability to inform operational planning."
"VS_L2_DE_2","ValueStream","Balance Supply & Demand","Manages generation dispatch and ancillary services to match electricity supply with demand in real-time."
"VS_L2_DE_3","ValueStream","Monitor & Control Grid","Provides real-time visibility into grid conditions and executes control actions to maintain stability."
"VS_L1_DE_RS","ValueStream","Respond & Restore","The process of detecting, responding to, and restoring service after a grid outage or fault."
"VS_L2_DE_4","ValueStream","Restore Service","Identifies fault locations, dispatches crews, and executes switching plans to restore power to affected customers."
"VS_L0_CNS","ValueStream","Connect New Service","The end-to-end process for safely and efficiently connecting new generation sources or large loads to the grid."
"VS_L1_CNS_PS","ValueStream","Process & Study","The initial phase of handling a new connection request, including administrative processing and technical impact analysis."
"VS_L2_CNS_1","ValueStream","Process Interconnection Request","Receives and validates applications from customers seeking to connect to the grid."
"VS_L2_CNS_2","ValueStream","Conduct Impact Study","Performs engineering analysis to determine the impact of the proposed connection on grid stability and reliability."
"VS_L1_CNS_IE","ValueStream","Implement & Energize","The phase of designing, constructing, and energizing the physical assets required for a new connection."
"VS_L2_CNS_3","ValueStream","Design & Approve Connection","Develops the specific engineering designs and plans for the physical interconnection."
"VS_L2_CNS_4","ValueStream","Construct & Energize Connection","Manages the construction and final commissioning of the new service connection."
"CAP_L0_GAM","Capability","Grid Asset Management","The ability to manage the entire lifecycle of physical grid assets, from planning and acquisition to maintenance and disposal."
"CAP_L1_SAP","Capability","Strategic Asset Planning","The ability to develop long-term strategies for asset investment, replacement, and risk management."
"CAP_L2_AHRA","Capability","Asset Health & Risk Assessment","The ability to assess the condition and failure risk of grid assets using data and analytics."
"CAP_L2_ICP","Capability","Investment & Capital Planning","The ability to prioritize and plan capital projects for grid enhancement and replacement."
"CAP_L1_ND","Capability","Network Development","The ability to design, engineer, and manage the development of new grid infrastructure."
"CAP_L2_NTP","Capability","Network Topology Planning","The ability to model and analyze the grid's physical and electrical layout to plan for changes."
"CAP_L2_BIDE","Capability","Bulk Infrastructure Design & Engineering","The ability to create detailed technical designs for high-voltage transmission and substation assets."
"CAP_L1_AC","Capability","Asset Construction","The ability to manage and execute the construction of new grid infrastructure."
"CAP_L2_BCPM","Capability","Bulk Construction Project Management","The ability to manage large-scale construction projects for new grid infrastructure."
"CAP_L1_AOM","Capability","Asset Operations & Maintenance","The ability to perform day-to-day operations and maintenance activities to ensure asset reliability."
"CAP_L2_PCBM","Capability","Predictive & Condition-Based Maintenance","The ability to use real-time data to predict asset failures and optimize maintenance schedules."
"CAP_L2_RIT","Capability","Routine Inspection & Testing","The ability to perform scheduled inspections and tests on grid equipment to ensure operational readiness."
