"ID","Type","Name","Documentation"
"VS1","ValueStream","Plan and Develop Grid Capacity",""
"VS1-S1","ValueStream","Forecast Demand and DER Growth",""
"VS1-S2","ValueStream","Analyze Network and Security",""
"VS1-S3","ValueStream","Prioritize and Approve Investments",""
"VS1-S4","ValueStream","Engineer and Build Assets",""
"VS1-S5","ValueStream","Commission and Register Assets",""
"VS2","ValueStream","Connect Customer to the Grid",""
"VS2-S1","ValueStream","Receive and Screen Request",""
"VS2-S2","ValueStream","Perform Connection Studies",""
"VS2-S3","ValueStream","Design Connection Solution",""
"VS2-S4","ValueStream","Construct and Energize Connection",""
"VS2-S5","ValueStream","Execute Connection Agreement",""
"VS3","ValueStream","Transport and Balance Energy",""
"VS3-S1","ValueStream","Day-Ahead Operational Planning",""
"VS3-S2","ValueStream","Real-Time Monitor and Control",""
"VS3-S3","ValueStream","Manage Congestion and Voltage",""
"VS3-S4","ValueStream","Activate Balancing and Ancillary Services",""
"VS3-S5","ValueStream","Post-Operations Review",""
"VS4","ValueStream","Resolve Outages and Emergencies",""
"VS4-S1","ValueStream","Detect and Locate Fault",""
"VS4-S2","ValueStream","Isolate Affected Network",""
"VS4-S3","ValueStream","Dispatch and Repair",""
"VS4-S4","ValueStream","Restore Service",""
"VS4-S5","ValueStream","Report and Learn",""
"VS5","ValueStream","Settle Network and Balancing Charges",""
"VS5-S1","ValueStream","Collect and Validate Meter Data",""
"VS5-S2","ValueStream","Allocate Flows and Losses",""
"VS5-S3","ValueStream","Calculate Charges and Settlements",""
"VS5-S4","ValueStream","Issue Statements and Invoice",""
"VS5-S5","ValueStream","Dispute and Reconciliation",""
"VS6","ValueStream","Establish Access Rules and Market Mechanisms",""
"VS6-S1","ValueStream","Define Access Products and Standards",""
"VS6-S2","ValueStream","Design Tariffs and Charges",""
"VS6-S3","ValueStream","Configure Market Platforms",""
"VS6-S4","ValueStream","Publish Rules and Engage Stakeholders",""
"VS6-S5","ValueStream","Compliance Reporting",""
"C1","Capability","Grid Capacity Planning",""
"C1-1","Capability","Load and DER Forecasting",""
"C1-2","Capability","Network Modeling and Power Flow Analysis",""
"C1-3","Capability","Contingency and Security Assessment",""
"C1-4","Capability","Capacity Expansion Planning",""
"C1-5","Capability","Investment Prioritization and Approval",""
"C2","Capability","Grid Asset Development",""
"C2-1","Capability","Line and Cable Engineering",""
"C2-2","Capability","Substation and Transformer Engineering",""
"C2-3","Capability","Protection and Control Engineering",""
"C2-4","Capability","Construction Management",""
"C2-5","Capability","Commissioning and Handover",""
"C3","Capability","System Operations Management",""
"C3-1","Capability","Operational Planning (DA/ID)",""
"C3-2","Capability","Real-Time Monitoring and Control",""
"C3-3","Capability","Congestion and Curtailment Management",""
"C3-4","Capability","Frequency and Voltage Control",""
"C3-5","Capability","Switching and Outage Scheduling",""
"C4","Capability","Grid Connection Management",""
"C4-1","Capability","Interconnection Request Intake and Screening",""
"C4-2","Capability","Feasibility and Impact Studies",""
"C4-3","Capability","Connection Engineering and Design",""
"C4-4","Capability","Customer Works Coordination and Energization",""
"C4-5","Capability","Connection Agreement Administration",""
"C5","Capability","Outage and Emergency Management",""
"C5-1","Capability","Fault Detection and Location",""
"C5-2","Capability","Network Isolation and Restoration",""
"C5-3","Capability","Field Resource Coordination",""
"C5-4","Capability","Incident Communications",""
"C5-5","Capability","Black Start and System Restoration",""
"C6","Capability","Market Facilitation and Settlement",""
"C6-1","Capability","Meter Data Management",""
"C6-2","Capability","Allocation and Reconciliation",""
"C6-3","Capability","Network Tariff Calculation and Billing",""
"C6-4","Capability","Balancing Market Operation",""
"C6-5","Capability","Ancillary Services Procurement and Settlement",""
"C7","Capability","Access and Tariff Governance",""
"C7-1","Capability","Access Product Definition",""
"C7-2","Capability","Tariff Design and Publication",""
"C7-3","Capability","Capacity Rights and Congestion Allocation",""
"C7-4","Capability","Regulatory Compliance Reporting",""
"C7-5","Capability","Stakeholder Engagement",""
"B1","BusinessObject","Grid Modeling and Planning Artefacts",""
"B1-1","BusinessObject","Load Forecast",""
"B1-2","BusinessObject","DER Forecast",""
"B1-3","BusinessObject","Grid Network Model",""
"B1-4","BusinessObject","Power Flow Study",""
"B1-5","BusinessObject","Contingency Analysis Report",""
"B1-6","BusinessObject","Capacity Expansion Plan",""
"B1-7","BusinessObject","Investment Business Case Portfolio",""
"B2","BusinessObject","Engineering and Construction Artefacts",""
"B2-1","BusinessObject","Line Design Package",""
"B2-2","BusinessObject","Substation Design Package",""
"B2-3","BusinessObject","Protection and Control Scheme",""
"B2-4","BusinessObject","Construction Work Package",""
"B2-5","BusinessObject","Commissioning Certificate",""
"B2-6","BusinessObject","As-Built Documentation",""
"B2-7","BusinessObject","Asset Registry",""
"B3","BusinessObject","Operations Artefacts",""
"B3-1","BusinessObject","SCADA Telemetry",""
"B3-2","BusinessObject","State Estimation Snapshot",""
"B3-3","BusinessObject","Dispatch Instruction",""
"B3-4","BusinessObject","Switching Plan",""
"B3-5","BusinessObject","Congestion Management Plan",""
"B3-6","BusinessObject","Outage Schedule",""
"B3-7","BusinessObject","Operating Procedure",""
"B4","BusinessObject","Connection Artefacts",""
"B4-1","BusinessObject","Interconnection Request",""
"B4-2","BusinessObject","Feasibility Study Report",""
