"ID","Type","Name","Documentation"
"C0","Capability","Manage Energy Grids",""
"C1","Capability","Manage Grid Connections",""
"C2","Capability","Plan Energy Systems",""
"C3","Capability","Develop and Maintain Grid Assets",""
"C4","Capability","Operate Transmission and Distribution Networks",""
"C5","Capability","Manage Energy Services",""
"C101","Capability","Source Strategic Materials",""
"C102","Capability","Manage Supplier Contracts",""
"C103","Capability","Evaluate Supplier Performances",""
"C104","Capability","Process Interconnection Applications",""
"C105","Capability","Negotiate Commercial Terms",""
"C106","Capability","Resolve Generator Inquiries",""
"C107","Capability","Manage Communication Channels",""
"C108","Capability","Administer CRM Platforms",""
"C201","Capability","Forecast Energy Demands",""
"C202","Capability","Develop Network Plans",""
"C203","Capability","Manage Regulatory Submissions",""
"C204","Capability","Analyze Market Trends",""
"C205","Capability","Manage Stakeholder Relations",""
"C206","Capability","Gather Market Intelligence",""
"C207","Capability","Evaluate New Technologies",""
"C208","Capability","Develop Communication Plans",""
"C209","Capability","Analyze Grid Impacts",""
"C210","Capability","Analyze Regulatory Tariffs",""
"C301","Capability","Engineer Infrastructure Designs",""
"C302","Capability","Build Physical Infrastructures",""
"C303","Capability","Test and Integrate Assets",""
"C304","Capability","Define Asset Policies",""
"C305","Capability","Manage Technical Standards",""
"C306","Capability","Manage Construction Projects",""
"C307","Capability","Assess Asset Lifecycles",""
"C308","Capability","Administer Project Budgets",""
"C309","Capability","Design Interconnection Systems",""
"C310","Capability","Build Interconnection Assets",""
"C311","Capability","Install and Maintain Meters",""
"C312","Capability","Manage Equipment Inventories",""
"C401","Capability","Maintain Network Models",""
"C402","Capability","Manage Safety Protocols",""
"C403","Capability","Manage Geospatial Data",""
"C404","Capability","Conduct Safety Audits",""
"C405","Capability","Operate GIS Systems",""
"C406","Capability","Certify Asset Compliance",""
"C407","Capability","Dispatch Field Crews",""
"C408","Capability","Collect Meter Data",""
"C409","Capability","Restore Power Services",""
"C410","Capability","Manage Work Orders",""
